TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
GLAG,SSGA SPDR ETFS EUROPE I PLC,SPDR BARC BLOOM GLOBAL AGG UCITS ETF,IE00B43QJJ40,ETFS,ETFs,Financials,Financial Services ,43130,Ireland,USD,MAIN MARKET,,EUET,UETY
GLAU,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC GBL AGG $HDG UCITS ETF,IE00BF1QPH33,ETFS,ETFs,Financials,Financial Services ,43147,Ireland,USD,MAIN MARKET,,EUET,UETY
GLBL,SSGA SPDR ETFS EUROPE I PLC,SPDR BARC BLOOM GLOBAL AGG UCITS ETF,IE00B43QJJ40,ETFS,ETFs,Financials,Financial Services ,43130,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
GLDV,SSGA SPDR ETFS EUROPE I PLC,SPDR S&P GLOBAL DIVIDEND UCITS ETF,IE00B9CQXS71,ETFS,ETFs,Financials,Financial Services ,41411,Ireland,USD,MAIN MARKET,,EUET,UETY
GLOW,SSGA SPDR ETFS EUROPE I PLC,SPDR STOXX GLO LOW,IE00BKDVQ787,ETFS,ETFs,Financials,Financial Services ,44068,Ireland,USD,MAIN MARKET,,EUET,UETY
GLRA,SSGA SPDR ETFS EUROPE I PLC,SPDR DJ GLOBAL RE UCITS ETF (ACC),IE00BH4GR342,ETFS,ETFs,Financials,Financial Services ,43756,Ireland,USD,MAIN MARKET,,EUET,UETY
GLRE,SSGA SPDR ETFS EUROPE I PLC,SPDR DOW JONES GLOBAL REAL EST UCITS ETF,IE00B8GF1M35,ETFS,ETFs,Financials,Financial Services ,41208,Ireland,USD,MAIN MARKET,,EUET,UETY
GLTL,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC  15+ YEAR GILT UCITS ETF,IE00B6YX5L24,ETFS,ETFs,Financials,Financial Services ,41050,Ireland,GBP,MAIN MARKET,,EUET,UETY
GLTS,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC 1-5 YEAR GILT UCITS ETF,IE00B6YX5K17,ETFS,ETFs,Financials,Financial Services ,41050,Ireland,GBP,MAIN MARKET,,EUET,UETY
GLTY,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC UK GILT UCITS ET,IE00B3W74078,ETFS,ETFs,Financials,Financial Services ,41050,Ireland,GBP,MAIN MARKET,,EUET,UETY
GOVY,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC EURO GOV BOND UCITS ETF,IE00B3S5XW04,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
IMID,SSGA SPDR ETFS EUROPE I PLC,SPDR MSCI ACWI IMI UCITS ETF $,IE00B3YLTY66,ETFS,ETFs,Financials,Financial Services ,40750,Ireland,USD,MAIN MARKET,,EUET,UETY
IUCB,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC 1-10 US CORP BD UCITS ETF,IE00BYV12Y75,ETFS,ETFs,Financials,Financial Services ,42422,Ireland,USD,MAIN MARKET,,EUET,UETY
JNKE,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC EURO HY BOND UCITS,IE00B6YX5M31,ETFS,ETFs,Financials,Financial Services ,40947,Ireland,EUR,MAIN MARKET,,EUET,UETY
JNKS,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC 0-5 YR US HIGH YIELD BOND,IE00B99FL386,ETFS,ETFs,Financials,Financial Services ,41540,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
